Name,URL,ISSN,"EconLit Coverage",Formerly,See
"Asia-Pacific Journal of Financial Studies",https://onlinelibrary.wiley.com/loi/20416156,2041-9945,"February 2008, 37(1) - present",,
"Asia-Pacific Journal of Risk and Insurance",http://www.degruyter.com/view/j/apjri,2194-606X,"January 2014, 8(1) - present",,
"Asia-Pacific Journal of Social Sciences",,0975-5942,"January-June 2009, 1(1) - January-June 2013, 5(1)",,
"Asia-Pacific Sustainable Development Journal",https://www.unescap.org/knowledge-products-series/asia-pacific-sustainable-development-journal,2617-8400,"June 2018, 25(1) - present","Asia-Pacific Development Journal",
"Assurances et Gestion des Risques/Insurance and Risk Management",http://www.revueassurances.ca/en/the-journal/archives/,1705-7299,"April 2012, 80(1) - present",,
"AStA: Advances in Statistical Analysis",https://link.springer.com/journal/volumesAndIssues/10182,1863-8171,"2007, 91(1) - present","Allgemeines Statistisches Archiv/Journal of the German Statistical Society",
"Atlantic Economic Journal",https://link.springer.com/journal/volumesAndIssues/11293,0197-4254,"Special Issue 1978, 6(3) - present",,
"Atlantic Review of Economics/Revista Atlantica de Economia",http://www.aroec.org/ojs/index.php/ARoEc,2174-3835,"June 2011 - present",,
"AUCO Czech Economic Review",http://auco.cuni.cz/mag/issue/list/,1802-4696,"2007, (1) - 2015, 9(3)",,
Aussenwirtschaft,http://www.siaw.unisg.ch/en/Journal/Ausgaben,0004-8216,"March 1969, 24(1) - December 2011, 66(4)",,
"Australasian Journal of Regional Studies",http://anzrsai.org/publications/ajrs/,1324-0935,"1995, 1(1) - present",,
"Australian Bulletin of Labour",http://www.flinders.edu.au/sabs/nils/publications/australian-bulletin-of-labour/australian-bulletin-of-labour.cfm,0311-6336,"Supplement Dec. 1980, 7 - 2017, 43(1)",,
"Australian Commodities Forecasts and Issues",,1321-7844,"March 1994, 1(1) - 2002, 9(2)","Agriculture and Resources Quarterly",
"Australian Economic History Review",http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291467-8446/issues,0004-8992,"March 1967, 7(1) - present",,
"Australian Economic Papers",http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291467-8454/issues,0004-900X,"September 1962, 1(1) - present",,
"Australian Economic Review",http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291467-8462/issues,0004-9018,"4th Quarter 1970 - present",,
"Australian Journal of Agricultural and Resource Economics",http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291467-8489/issues,1364-985X,"March 1997, 41(1) - present",,
"Australian Journal of Agricultural Economics",,0817-8763,"June 1969, 13(1) - Dec. 1996, 40(3)",,
"Australian Journal of Labour Economics",https://businesslaw.curtin.edu.au/our-research/publications/australian-journal-labour-economics/,1328-1143,"March 1997, 1(1) - present",,
"Australian Journal of Management",http://aum.sagepub.com/content/by/year,0312-8962,"Oct. 1977, 2(2) - June 1983, 8(1)",,
"Australian Tax Forum",http://www.taxinstitute.com.au/publications/australian-tax-forum,0812-695X,"March 1984, 1(1) - 1997, 13(3)",,
"Baltic Journal of Economics",http://www.tandfonline.com/toc/rbec/current,1406-099X,"Autumn-Winter 2004-05, 5(1) - present",,
"Banca Impresa Società",https://www.rivisteweb.it/issn/1120-9453,1120-9453,"April 2009, 28(1) - present",,
"Banca Nazionale del Lavoro Quarterly Review",,0005-4607,"April 1947, 1(1) - September 2007, 60(242)",,"PSL Quarterly Review"
Bancaria,http://www.bancaria.it/archivio-sommari,0005-4623,"Jan. 1969, 25(1) - Sept. 1986, 42(9); April 2009, 65(4) - present",,
"Bancni Vestnik",https://bv.zbs-giz.si/bancni-vestnik/,0005-4631,"January-February 2005, 54(1-2) - present",,
"Banco de España Economic Bulletin",http://www.bde.es/bde/en/secciones/informes/boletines/Boletin_economic/,1130-4987,"Jan. 1993 - present",,
"Bangladesh Development Studies",http://bids.org.bd/page/journal/?status=bds&issue=past,0304-095X,"July 1974, 2(3) - present","Bangladesh Economic Review",
"Bangladesh Economic Review",,0304-095X,"Jan. 1973, 1(1) - April 1974, 2(2)",,"Bangladesh Development Studies"
"Bank of Canada Review",http://www.bankofcanada.ca/publications-research/periodicals/boc-review/,0045-1460,"Spring 2010 - Autumn 2017",,
"Bank of England Quarterly Bulletin",https://www.bankofengland.co.uk/quarterly-bulletin/quarterly-bulletins,0005-5166,"Spring 2002, 42(1) - present",,
"Bank of Greece Economic Bulletin",https://www.bankofgreece.gr/en/publications-and-research/research/economic-bulletin,1105-9729,"January 2004, (22) - present",,
"Bank of Israel Economic Review",,0334-441X,"March 1996, (69) - 2001, 73",,
"Bank of Korea Economic Papers",http://eng.bok.or.kr/broadcast.action?menuNaviId=738,1226-7589,"Jan. 1998, 1(1) - December 2010, 13(2)",,
"Bank of Valletta Review",https://www.bov.com/Content/bov-review,1017-7841,"Spring 1995, (11) - Summer 2014, (49)",,
"Banking and Finance Review",https://bankingandfinancereview.com/index.php/BFR2021/issue/archive,1947-7945,"December 2009, 1(1) - present",,
"Bankpedia Review",http://www.assonebb.it/review/,2239-8023,"June 2011 - December 2017, 7(1-2)",,
"Basic Income Studies",http://www.degruyter.com/view/j/bis,2194-6094,"June 2006, 1(1) - present",,
"B.E. Journal of Economic Analysis and Policy",http://www.degruyter.com/view/j/bejeap,2194-6108,"January 2012, 12(1) - present",,
"B.E. Journal of Economic Analysis and Policy: Advances in Economic Analysis and Policy",https://www.degruyter.com/view/j/bejeap,1935-1682,"2005, 5(1) - 2010, 10(4)","Advances in Economic Analysis and Policy",
"B.E. Journal of Economic Analysis and Policy: Contributions to Economic Analysis and Policy",https://www.degruyter.com/view/j/bejeap,1935-1682,"2005, 4(1) - 2011, 11(31)","Contributions to Economic Analysis and Policy",
"B.E. Journal of Economic Analysis and Policy: Frontiers of Economic Analysis and Policy",http://www.bepress.com/bejeap/frontiers/,1935-1682,"2005, 1(1) - 2010, 10(3)",,
"B.E. Journal of Economic Analysis and Policy: Topics in Economic Analysis and Policy",https://www.degruyter.com/view/j/bejeap,1935-1682,"2005, 5(1) - 2011, 11(2)","Topics in Economic Analysis and Policy",
"B.E. Journal of Macroeconomics",http://www.degruyter.com/view/j/bejm,2194-6116,"January 2012, 12(1) - present",,
"B.E. Journal of Macroeconomics: Advances in Macroeconomics",https://www.degruyter.com/view/j/bejm,1935-1690,"2005, 5(1) - 2011, 11(1)","Advances in Macroeconomics",
"B.E. Journal of Macroeconomics: Contributions to Macroeconomics",https://www.degruyter.com/view/j/bejm,1935-1690,"2005, 5(1) - 2011, 11(2)","Contributions to Macroeconomics",
"B.E. Journal of Macroeconomics: Frontiers of Macroeconomics",https://www.degruyter.com/view/j/bejm,1935-1690,"2005, 2(1) - 2007, 3(3)","Frontiers of Macroeconomics",
"B.E. Journal of Macroeconomics: Topics in Macroeconomics",https://www.degruyter.com/view/j/bejm,1935-1690,"2005, 5(1) - 2011, 11(2)","Topics in Macroeconomics",
"B.E. Journal of Theoretical Economics",http://www.degruyter.com/view/j/bejte,2194-6124,"January 2012, 12(1) - present",,
"B.E. Journal of Theoretical Economics: Advances in Theoretical Economics",https://www.degruyter.com/view/j/bejte,1935-1704,"2005, 5(1) - 2011, 11(1)","Advances in Theoretical Economics",
"B.E. Journal of Theoretical Economics: Contributions to Theoretical Economics",https://www.degruyter.com/view/j/bejte,1935-1704,"2005, 5(1) - 2011, 11(2)","Contributions to Theoretical Economics",
"B.E. Journal of Theoretical Economics: Frontiers of Theoretical Economics",https://www.degruyter.com/view/j/bejte,1935-1704,"2005, 2(1) - 2006, 2(4)","Frontiers of Theoretical Economics",
"B.E. Journal of Theoretical Economics: Topics in Theoretical Economics",https://www.degruyter.com/view/j/bejte,1935-1704,"2005, 5(1) - 2011, 11(2)","Topics in Theoretical Economics",
"Behavioral Research in Accounting",https://meridian.allenpress.com/bria,1050-4753,"1997, 9 - present",,
"Bell Journal of Economics",,0361-915X,"Spring 1973, 4(1) - Autumn 1983, 14(2)",,"RAND Journal of Economics"
"Betriebswirtschaft/Business Administration Review",http://www.dbwnet.de,0342-7064,"January-February 2008, 68(1) - November-December 2016, 76(6)",,
"Bio-based and Applied Economics",https://oaj.fupress.net/index.php/bae/issue/archive,2280-6180,"2012, 1(1) - present",,
"Biquarterly Journal of Iran's Economic Essays",http://iee.rihu.ac.ir/,1735-3300,"2004, 1 - present",,
"BIS Quarterly Review",http://www.bis.org/publ/quarterly.htm,1683-0121,"August 1998 - present",,
"Bogazici Journal: Review of Social, Economic and Administrative Studies",http://www.bujournal.boun.edu.tr/?sayfa=5,1300-9583,"2010, 24(1-2) - present",,
"Boletin de Estudios Económicos",https://bee.revistas.deusto.es/index/,0006-6249,"2005, 60(184) - present",,
"Borsa Istanbul Review",http://www.sciencedirect.com/science/journal/22148450,2214-8450,"September 2013, 13(3) - present","ISE Review",
"Brazilian Journal of Political Economy",https://bjpe.org.br/rep/index.php/journal/issue/archive,0101-3157,"January-March 2020, 40(1) - present","Revista de Economia Política/Brazilian Journal of Political Economy",
"Brazilian Review of Econometrics",http://bibliotecadigital.fgv.br/ojs/index.php/bre/issue/archive,1980-2447,"May 2000, 20(1) - present","Revista de Econometria",
"Briefing Notes in Economics",http://www.richmond.ac.uk/bne/backissu.htm,0968-7017,"Dec. 2000-Jan. 2001, (47) - Nov. 2016, (92)",,
"British Actuarial Journal",http://journals.cambridge.org/action/displayBackIssues?jid=BAJ,1357-3217,"2011, 16(1) - present",,
"British Journal of Industrial Relations",http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291467-8543/issues,0007-1080,"February 1963, 1(1) - present",,
"British Review of Economic Issues",,0141-4739,"Spring 1981, 2(8) - Feb. 1994, 16(38)",,"Economic Issues"
"Brookings Papers on Economic Activity",http://www.brookings.edu/about/projects/bpea/past-editions,0007-2303,"1970, (1) - present",,
"Brookings–Wharton Papers on Financial Services",http://muse.jhu.edu/journals/brookings-wharton_papers_on_financial_services/,1098-3651,"1998 - 2004",,
